JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,KECEPATAN TRANSAKSI,BIAYA BAHAN BAKU,PANJANG PRODUK,BERAT PRODUK,HARGA PRODUK
SILVER BRACELETS,BSER 1016,0,0,4,75.312,8,523,125.52
SILVER BRACELETS,BSER 1016,0,0,3,78.912,8.5,411,131.52
SILVER BRACELETS,BSER 1016,0,0,1,83.52,9,145,139.2
SILVER BRACELETS,BFTR 150,0,0,1,71.424,8.5,124,119.04
SILVER BRACELETS,BFTR 150,0,0,1,76.032,9,132,126.72
SILVER BRACELETS,BSTR 179,0,0,2,35.712,7.5,124,59.52
SILVER BRACELETS,BFTN 115,0,0,3,51.84,8,270,86.4
SILVER BRACELETS,BSTR 462,0,0,2,19.008,7.5,66,31.68
SILVER BRACELETS,BCRK 705,0,0,1,34.56,8,60,57.6
SILVER BRACELETS,BSTR 711,0,0,3,52.608,8,274,87.68
SILVER BRACELETS,BSTR 711,0,0,5,55.872,8.5,485,93.12
SILVER BRACELETS,BCTR 800,0,0,2,74.304,8.5,258,123.84
SILVER BRACELETS,BSFK 850,0,0,4,34.56,7.5,240,57.6
SILVER BRACELETS,BSFK 850,0,0,5,37.092,8,322,61.82
SILVER BRACELETS,BSFB 074,0,0,2,31.68,7,110,52.8
SILVER BRACELETS,BSFB 074,0,0,5,33.87,7.5,294,56.45
SILVER BRACELETS,BSFB 074,0,0,4,35.424,8,246,59.04
SILVER BRACELETS,BCKS 410,0,0,1,50.112,8.5,87,83.52
SILVER BRACELETS,BCKS 167,0,0,1,119.808,9,208,199.68
SILVER BRACELETS,BSRK 560,0,0,3,25.728,8,134,42.88
SILVER BRACELETS,BSED 3512,0,0,2,31.68,7,110,52.8
SILVER BRACELETS,BSED 1151,0,0,1,35.136,7.5,61,58.56
SILVER BRACELETS,BSED 1151,0,0,2,36.864,8,128,61.44
SILVER BRACELETS,BSED 1151,0,0,1,40.896,9,71,68.16
SILVER BRACELETS,BTP 128,0,0,2,64.512,8,224,107.52
SILVER BRACELETS,BTP 128,0,0,1,69.696,8.5,121,116.16
SILVER BRACELETS,BTP 128,0,0,2,73.152,9,254,121.92
SILVER BRACELETS,BCKS 48,0,0,2,22.176,7,77,36.96
SILVER BRACELETS,BCKS 48,0,0,6,24.096,7.5,251,40.16
SILVER BRACELETS,BCKS 48,0,0,3,25.728,8,134,42.88
SILVER NECKLECES,NCKS 48,0,0,4,60.336,20,419,100.56
SILVER NECKLECES,NCKS 48,0,0,2,67.68,22,235,112.8
SILVER BRACELETS,BCKS 156,0,0,1,66.816,8.5,116,111.36
SILVER BRACELETS,BSBP 708,0,0,1,44.352,8,77,73.92
SILVER BRACELETS,BSBP 708,0,0,1,47.232,8.5,82,78.72
SILVER BRACELETS,BSBP 708,0,0,1,50.112,9,87,83.52
SILVER BRACELETS,BCTP 115,0,0,2,77.76,8.5,270,129.6
SILVER BRACELETS,BCBD 725,0,0,2,33.696,8,117,56.16
SILVER BRACELETS,BCBD 725,0,0,2,35.136,8.5,122,58.56
SILVER NECKLECES,NSRB 401,0,0,2,40.896,24,142,68.16
SILVER BRACELETS,BCSS 800,0,0,3,41.472,7.5,216,69.12
SILVER BRACELETS,BCSS 800,0,0,5,44.004,8,382,73.34
SILVER BRACELETS,BCSS 800,0,0,2,45.792,8.5,159,76.32
SILVER BRACELETS,BSTR 097,0,0,4,38.16,8,265,63.6
SILVER BRACELETS,BSTR 097,0,0,3,40.896,8.5,213,68.16
SILVER BRACELETS,BSTR 097,0,0,1,43.2,9,75,72
SILVER BRACELETS,BSFK 850-G,0.9,0,1,78.276,8,64,130.46
SILVER BRACELETS,BSOK 46,0,0,17,17.484,7,516,29.14
SILVER BRACELETS,BSOK 46,0,0,24,18.888,7.5,787,31.48
SILVER BRACELETS,BSOK 46,0,0,12,20.88,8,435,34.8
SILVER BRACELETS,BSOK 46,0,0,2,20.736,8.25,72,34.56
SILVER BRACELETS,BSTR 550,0,0,2,30.24,8,105,50.4
SILVER BRACELETS,BSTR 550,0,0,2,31.68,8.5,110,52.8
SILVER BRACELETS,BSTR 550,0,0,2,33.12,9,115,55.2
SILVER BRACELETS,BSTR 577,0,0,4,26.64,7,185,44.4
SILVER BRACELETS,BSTR 577,0,0,7,28.554,7.5,347,47.59
SILVER BRACELETS,BSTR 577,0,0,5,30.528,8,265,50.88
SILVER BRACELETS,BSTR 577,0,0,2,31.68,8.5,110,52.8
SILVER BRACELETS,BCHK 1041,0,0,2,63.648,8,221,106.08
SILVER BRACELETS,BCHK 1041,0,0,2,66.528,8.5,231,110.88
SILVER BRACELETS,BCHK 1041,0,0,2,70.56,9,245,117.6
SILVER BRACELETS,BSTR 097-S,0,46,6,61.602,7.5,406,102.67
SILVER BRACELETS,BSTR 097-S,0,46,3,63.906,8,217,106.51
SILVER BRACELETS,BCFK 155,0,0,6,87.84,8.5,915,146.4
SILVER BRACELETS,BCFK 155,0,0,1,93.312,9,162,155.52
SILVER BRACELETS,BCFK 560,0,0,8,35.064,8,487,58.44
SILVER BRACELETS,BCHK 1040,0,0,1,60.48,7.5,105,100.8
SILVER BRACELETS,BCHK 1040,0,0,1,63.36,8,110,105.6
SILVER BRACELETS,BFTN 126,0,0,2,59.04,8,205,98.4
SILVER BRACELETS,BFTN 126,0,0,3,61.248,8.5,319,102.08
SILVER BRACELETS,BSTR 379,0,0,2,46.656,7.5,162,77.76
SILVER BRACELETS,BSTR 379,0,0,4,49.392,8,343,82.32
SILVER BRACELETS,BSTR 379,0,0,2,52.416,8.5,182,87.36
SILVER BRACELETS,BSTR 845-S,0,50,3,54.96,8.5,166,91.6
SILVER BRACELETS,BSTR 845-S,0,50,2,56.784,8,117,94.64
SILVER BRACELETS,BSTR 845-S,0,50,2,56.784,8,111,94.64
SILVER BRACELETS,BCBP 68,0,0,6,27.744,7.5,289,46.24
SILVER BRACELETS,BCBP 68,0,0,5,29.262,8,254,48.77
SILVER BRACELETS,BCBP 68,0,0,4,31.392,8.5,218,52.32
SILVER BRACELETS,BSTR 5704-S,0,33,1,47.886,7,39,79.81
SILVER BRACELETS,BSTR 5704-S,0,33,1,44.316,7,39,73.86
SILVER BRACELETS,BSTR 5704-S,0,33,1,44.316,7.5,40,73.86
SILVER BRACELETS,BSTR 5703,0,0,1,47.814,7,39,79.69
SILVER BRACELETS,BSTR 5702-S,0,35,1,44.676,7,38,74.46
SILVER BRACELETS,NSTR 468-S,0,12,1,61.338,16,75,102.23
SILVER BRACELETS,NSTR 468-S,0,12,1,65.946,18,83,109.91
SILVER BRACELETS,BSTR 468-S,0,12,3,37.488,7.5,107,62.48
SILVER BRACELETS,BSTR 468-S,0,12,2,37.488,7.5,71,62.48
SILVER NECKLECES,NSRB 301,0,0,2,14.112,16,49,23.52
SILVER NECKLECES,NSRB 301,0,0,2,15.552,18,54,25.92
SILVER NECKLECES,NSRB 301,0,0,2,17.568,20,61,29.28
SILVER NECKLECES,NSRB 301,0,0,2,21.024,24,73,35.04
SILVER NECKLECES,NSRB 301,0,0,2,25.92,30,90,43.2
SILVER BRACELETS,BCBD 725,0,0,3,29.568,7,154,49.28
SILVER BRACELETS,BCBD 725,0,0,4,31.248,7.5,217,52.08
SILVER BRACELETS,BCBD 725,0,0,4,32.832,8,228,54.72
SILVER BRACELETS,BSTR 6831,0,0,7,30.036,7.5,365,50.06
SILVER BRACELETS,BSTR 6831,0,0,7,31.434,8,382,52.39
SILVER BRACELETS,BSTR 6831,0,0,6,33.408,8.5,348,55.68
SILVER BRACELETS,BSTR 681,0,0,5,29.49,7.5,256,49.15
SILVER BRACELETS,BSTR 681,0,0,5,30.99,8,269,51.65
SILVER BRACELETS,BSTR 681,0,0,5,33.294,8.5,289,55.49
SILVER BRACELETS,BSTR 462,0,0,10,13.884,7,241,23.14
SILVER BRACELETS,BSTR 462,0,0,8,14.832,7.5,206,24.72
SILVER BRACELETS,BSTR 462,0,0,8,15.48,8,215,25.8
SILVER BRACELETS,BSTR 463,0,0,10,13.938,7,242,23.23
SILVER BRACELETS,BSTR 463,0,0,15,14.82,7.5,386,24.7
SILVER BRACELETS,BSFB 614,0,0,3,87.168,8,454,145.28
SILVER BRACELETS,BSFB 614,0,0,2,94.464,8.5,328,157.44
SILVER BRACELETS,BSFB 614,0,0,2,99.936,9,347,166.56
SILVER BRACELETS,BSER 125,0,0,5,36.978,7.5,321,61.63
SILVER BRACELETS,BSER 125,0,0,6,39.744,8,414,66.24
SILVER BRACELETS,BSER 125,0,0,4,41.472,8.5,288,69.12
SILVER BRACELETS,BSHK 743,0,0,3,37.824,7.5,197,63.04
SILVER BRACELETS,BSHK 743,0,0,3,40.704,8,212,67.84
SILVER BRACELETS,BSHK 743,0,0,3,43.584,8.5,227,72.64
SILVER BRACELETS,BSTR 711,0,0,2,53.856,8,187,89.76
SILVER BRACELETS,BSTR 711,0,0,4,56.736,8.5,394,94.56
SILVER BRACELETS,BSTR 711,0,0,1,59.328,9,103,98.88
SILVER BRACELETS,BSFK 850,0,0,3,33.6,7.5,175,56
SILVER BRACELETS,BSFK 850,0,0,4,36.144,8,251,60.24
SILVER BRACELETS,BSFK 816,0,0,3,36.48,8,190,60.8
SILVER BRACELETS,BSFK 816,0,0,4,37.728,8.5,262,62.88
SILVER BRACELETS,BPKM 210,0,0,2,38.304,8,133,63.84
SILVER BRACELETS,BPKM 210,0,0,3,40.512,8.5,211,67.52
SILVER BRACELETS,BPKM 210,0,0,1,42.048,9,73,70.08
SILVER BRACELETS,BSTR 577-G,1,0,2,76.278,7.5,103,127.13
SILVER BRACELETS,BSFK 850-G,0.9,0,2,75.396,7.5,118,125.66
SILVER BRACELETS,BSFK 850-G,0.9,0,1,78.276,8,64,130.46
SILVER BRACELETS,BSTR 711-G,1.3,0,1,104.238,8,91,173.73
SILVER BRACELETS,BSTR 711-G,1.3,0,1,107.118,8.5,96,178.53
SILVER BRACELETS,BSFB 614-G,2.2,0,1,162.384,8,152,270.64
SILVER BRACELETS,BSFB 614-G,2.2,0,1,168.72,8.5,163,281.2
SILVER BRACELETS,BTP 154-S,0,5,2,96.048,8,271,160.08
SILVER BRACELETS,BTP 154-S,0,5,3,99.414,8.5,424,165.69
SILVER BRACELETS,BSRK 560,0,0,3,24.192,7,126,40.32
SILVER BRACELETS,BSRK 560,0,0,3,24.576,7.5,128,40.96
SILVER BRACELETS,BSRK 560,0,0,5,25.458,7.5,221,42.43
SILVER BRACELETS,BSRK 560,0,0,2,27.072,8,94,45.12
SILVER NECKLECES,NSRK 501,0,0,10,41.874,18,727,69.79
SILVER NECKLECES,NSRK 501,0,0,10,46.596,20,809,77.66
SILVER BRACELETS,BSAN 1845,0,0,2,56.16,8,195,93.6
SILVER BRACELETS,BSAN 1845,0,0,3,58.944,8.5,307,98.24
SILVER BRACELETS,BSTR 468-S,0,12,3,36.612,7,102,61.02
SILVER BRACELETS,BSTR 468-S,0,12,4,36.612,7,137,61.02
SILVER BRACELETS,BSTR 468-S,0,12,9,38.154,7.5,331,63.59
SILVER BRACELETS,BSTR 468-S,0,12,2,38.154,7.5,73,63.59
SILVER BRACELETS,BSTR 468-S,0,12,1,39.408,8,39,65.68
SILVER BRACELETS                                ,BSTR 468-S,0,12,1,39.408,8,39,65.68
SILVER BRACELETS                              ,BSTR 815-S,0,15,1,44.496,7,47,74.16
SILVER BRACELETS                               ,BSTR 815-S,0,15,2,44.496,7,92,74.16
SILVER BRACELETS                               ,BSTR 815-S,0,15,5,45.396,7.5,243,75.66
SILVER BRACELETS                              ,BSTR 815-S,0,15,4,45.396,7.5,194,75.66
SILVER BRACELETS                               ,BSER 125-S,0,12,2,54.378,7.5,128,90.63
SILVER BRACELETS                              ,BSER 125-S,0,12,1,54.378,7.5,65,90.63
SILVER BRACELETS                                ,BSER 125-S,0,12,1,56.682,8,67,94.47
SILVER BRACELETS                              ,BSER 125-S,0,12,1,56.682,8,69,94.47
SILVER BRACELETS                              ,BSFK 816-S,0,16,1,52.146,7.5,60,86.91
SILVER BRACELETS                                ,BSFK 816-S,0,16,1,52.146,7.5,59,86.91
SILVER BRACELETS                              ,BSFK 816-S,0,16,1,54.45,8,64,90.75
SILVER BRACELETS                               ,BSFK 816-S,0,16,1,54.45,8,64,90.75
SILVER BRACELETS,BSTR 682,0,0,6,30.528,7.5,318,50.88
SILVER BRACELETS                                            ,BSTR 682,0,0,6,31.296,8,326,52.16
SILVER BRACELETS                                           ,BSTR 682,0,0,2,33.408,8.5,116,55.68
SILVER BRACELETS                                           ,BCBP 682,0,0,5,33.294,7.5,289,55.49
SILVER BRACELETS                                             ,BCBP 682,0,0,4,34.992,8,243,58.32
SILVER BRACELETS                                           ,BCBP 682,0,0,3,37.44,8.5,195,62.4
SILVER BRACELETS                                           ,BSTR 468-G,0.8,0,1,60.696,7.5,38,101.16
SILVER BRACELETS                                           ,BTOV 561,0,0,1,24.768,7.5,43,41.28
SILVER BRACELETS                                            ,BLKL 115,0,0,1,28.008,8,32,46.68
SILVER BRACELETS                                           ,BLKL 750,0,0,1,20.88,7.5,20,34.8
SILVER BRACELETS                                            ,BLKL 750,0,0,1,21.474,8,21,35.79
SILVER BRACELETS                                            ,BSER 117,0,0,3,42.048,7.5,219,70.08
SILVER BRACELETS                                            ,BSER 117,0,0,3,43.776,8,228,72.96
SILVER BRACELETS                                            ,BCST 775,0,0,5,19.122,7,166,31.87
SILVER BRACELETS                                           ,BCST 775,0,0,5,20.622,7.5,179,34.37
SILVER BRACELETS,BCST 775-G,0.8,0,1,58.968,7,35,98.28
SILVER BRACELETS ,BCST 775-G,0.8,0,1,60.12,7.5,37,100.2
SILVER BRACELETS  ,BSOK 45,0,0,3,15.168,7,79,25.28
SILVER BRACELETS                                           ,BSOK 45,0,0,1,16.128,7.5,28,26.88
SILVER BRACELETS                                            ,BSBP 646,0,0,1,20.16,7,35,33.6
SILVER BRACELETS                                           ,BSBP 646,0,0,1,20.736,7.5,36,34.56
SILVER BRACELETS                                             ,BTP 124,0,0,2,74.592,8,259,124.32
SILVER BRACELETS                                            ,BTP 124,0,0,2,77.76,8.5,270,129.6
SILVER BRACELETS                                            ,BTP 124,0,0,1,83.52,9,145,139.2
SILVER BRACELETS,NSFB 614,0,0,1,276.48,26,480,460.8
SILVER BRACELETS,BCBD 725,0,0,1,34.56,8.5,60,57.6
SILVER BRACELETS,BCBD 725,0,0,1,36.288,9,63,60.48
SILVER BRACELETS,BAKL 123,0,0,1,27.072,7,47,45.12
SILVER BRACELETS,BAKL 123,0,0,3,28.8,7.5,150,48
SILVER BRACELETS,BSAN 1845,0,0,1,56.448,8,98,94.08
SILVER BRACELETS,BSAN 1845,0,0,1,59.904,8.5,104,99.84
SILVER BRACELETS,BTP 124,0,0,1,81.792,9,142,136.32
SILVER BRACELETS,BCHK 1040,0,0,1,61.056,8,106,101.76
SILVER BRACELETS,BCHK 1041,0,0,1,67.968,9,118,113.28
SILVER BRACELETS,BSTR 397,0,0,1,45.504,9,79,75.84
SILVER BRACELETS,BSTR 097-S,0,46,2,61.314,8,135,102.19
SILVER BRACELETS,BSTR 097-S,0,46,2,67.074,9,155,111.79
SILVER BRACELETS,BSKN 68,0,0,2,37.728,9,131,62.88
SILVER BRACELETS,BSOK 46,0,0,19,19.344,7,638,32.24
SILVER BRACELETS,BSOK 46,0,0,20,20.82,7.5,723,34.7
SILVER BRACELETS,BSOK 46,0,0,20,21.948,8,762,36.58
SILVER BRACELETS,BSOK 46,0,0,2,22.464,8.25,78,37.44
SILVER BRACELETS,BSOK 46,0,0,10,23.388,8.5,406,38.98
SILVER NECKLECES,NSKL 761,0,0,2,55.872,16,194,93.12
SILVER NECKLECES,NSKL 761,0,0,2,63.36,18,220,105.6
SILVER NECKLECES,NSKL 761,0,0,2,69.696,20,242,116.16
SILVER NECKLECES,NSOK46,0,0,2,49.248,18,171,82.08
SILVER BRACELETS,BCKS 48,0,0,2,25.632,8,89,42.72
SILVER BRACELETS,BCTG 117,0,0,1,59.904,9.25,104,99.84
SILVER BRACELETS,BCVJ 93,0,0,12,18.168,7,367,30.28
SILVER BRACELETS,BCVJ 93,0,0,8,19.38,7.5,261,32.3
SILVER BRACELETS,BSTR 750,0,0,10,28.11,7.5,488,46.85
SILVER BRACELETS,BSTR 750,0,0,10,29.49,8,512,49.15
SILVER BRACELETS,BSTR 750,0,0,6,31.488,8.5,328,52.48
SILVER BRACELETS,BSTR 750,0,0,6,33.504,9,349,55.84
SILVER NECKLECES,NSRK 501,0,0,5,43.2,18,375,72
SILVER NECKLECES,NSRK 501,0,0,5,48.384,20,420,80.64
SILVER NECKLECES,NSRK 501,0,0,3,50.496,22,263,84.16
SILVER NECKLECES,NSRK 401,0,0,6,27.168,18,283,45.28
SILVER NECKLECES,NSRK 401,0,0,6,30.624,20,319,51.04
SILVER NECKLECES,NSRK 401,0,0,6,32.16,22,335,53.6
SILVER BRACELETS,BSOK 46-GP,0,0,8,24.024,7.5,292,40.04
SILVER BRACELETS,BSOK 46-GP,0,0,8,25.032,8,306,41.72
SILVER BRACELETS ,BSOK 46-GP,0,0,8,26.616,8.5,328,44.36
SILVER BRACELETS,BSTR 750-GP,0,0,8,30.792,7.5,386,51.32
SILVER BRACELETS ,BSTR 750-GP,0,0,8,33.168,8,419,55.28
SILVER BRACELETS,BSTR 750-GP,0,0,8,34.968,8.5,444,58.28
SILVER BRACELETS,BSTR 750-GP,0,0,8,36.84,9,470,61.4
SILVER BRACELETS,BSTR 550,0,0,2,30.24,8,105,50.4
SILVER BRACELETS,BSTR 550,0,0,2,31.968,8.5,111,53.28
SILVER BRACELETS,BSTR 550,0,0,2,33.696,9,117,56.16
SILVER BRACELETS,BSTR 097,0,0,2,38.016,8,132,63.36
SILVER BRACELETS,BSTR 097,0,0,2,40.32,8.5,140,67.2
SILVER BRACELETS,BSTR 577,0,0,2,33.696,8.5,117,56.16
SILVER BRACELETS,BSTR 468-S,0,12,2,37.386,7,71,62.31
SILVER BRACELETS,BSTR 468-S,0,12,2,37.386,7,71,62.31
SILVER BRACELETS,BSTR 468-S,0,12,10,38.484,7.5,374,64.14
SILVER BRACELETS,BSTR 468-S,0,12,5,38.484,7.5,187,64.14
SILVER BRACELETS,BTP 128,0,0,1,71.424,8.5,124,119.04
SILVER BRACELETS,BSFB 614,0,0,1,86.976,8,151,144.96
SILVER BRACELETS,BSFB 590,0,0,1,41.472,7,72,69.12
SILVER BRACELETS,BSFB 590,0,0,1,43.776,7.5,76,72.96
SILVER BRACELETS,BSFB 074,0,0,1,31.68,7,55,52.8
SILVER BRACELETS,BSFB 074,0,0,2,33.696,7.5,117,56.16
SILVER BRACELETS,BSFB 074,0,0,2,35.136,8,122,58.56
SILVER BRACELETS,BSBP 540,0,0,2,25.056,7,87,41.76
SILVER BRACELETS,BSTR 075-G,2.5,0,1,75.414,7.5,50,125.69
SILVER BRACELETS,NSTR 468-S,0,12,1,70.506,19,93,117.51
SILVER BRACELETS,NSRB 401,0,0,1,50.112,30,87,83.52
SILVER BRACELETS,BSRK 560,0,0,1,24.192,7,42,40.32
SILVER BRACELETS,BSRK 560,0,0,2,24.192,7,84,40.32
SILVER BRACELETS,BSRK 560,0,0,8,25.848,7.5,359,43.08
SILVER BRACELETS,BSRK 560,0,0,2,26.784,8,93,44.64
SILVER BRACELETS,BBSB 1612-G,2.5,0,1,120.6,8,64,201
SILVER BRACELETS,BSTR 570,0,0,10,17.166,7,298,28.61
SILVER BRACELETS,BSTR 570,0,0,11,18.33,7.5,350,30.55
SILVER BRACELETS,BSTR 570,0,0,3,19.584,8,102,32.64
SILVER BRACELETS,BSTR 571,0,0,7,20.322,7,247,33.87
SILVER BRACELETS,BSTR 571,0,0,5,21.54,7.5,187,35.9
SILVER BRACELETS,BSBP 5711,0,0,3,25.92,7,135,43.2
SILVER BRACELETS,BSBP 5711,0,0,5,27.42,7.5,238,45.7
SILVER BRACELETS,BSBP 5711,0,0,2,29.088,8,101,48.48
SILVER BRACELETS,BSBP 955,0,0,4,40.896,8,284,68.16
SILVER BRACELETS,BSBP 955,0,0,4,42.336,8,294,70.56
SILVER BRACELETS,BSBP 955,0,0,2,45.792,8.5,159,76.32
SILVER BRACELETS,BSAN 5155,0,0,4,43.92,7.5,305,73.2
SILVER BRACELETS,BSAN 5155,0,0,4,46.224,8,321,77.04
SILVER BRACELETS,BSAN 5155,0,0,2,48.96,8.5,170,81.6
SILVER BRACELETS,BSOK 46,0,0,25,18.522,7,804,30.87
SILVER BRACELETS,BSOK 46,0,0,27,19.56,7.5,917,32.6
SILVER BRACELETS,BSOK 46,0,0,24,21.624,8,901,36.04
SILVER BRACELETS,BSOK 46,0,0,7,23.616,8.5,287,39.36
SILVER BRACELETS,BSTR 750,0,0,3,30.336,7.5,158,50.56
SILVER BRACELETS,BSTR 750,0,0,3,32.64,8,170,54.4
SILVER BRACELETS,BSTR 750,0,0,3,34.368,8.5,179,57.28
SILVER BRACELETS,BSTR 750,0,0,3,36.096,9,188,60.16
SILVER BRACELETS,BSTR 577,0,0,7,30.942,7.5,376,51.57
SILVER BRACELETS,BSTR 577,0,0,5,33.18,8,288,55.3
SILVER BRACELETS,BSTR 577,0,0,3,35.328,8.5,184,58.88
SILVER BRACELETS,BSTR 577,0,0,3,36.864,9,192,61.44
SILVER NECKLECES,NSRK 501,0,0,1,39.168,17,68,65.28
SILVER NECKLECES,NSRK 501,0,0,5,41.472,18,360,69.12
SILVER NECKLECES,NSRK 501,0,0,4,45.216,20,314,75.36
SILVER NECKLECES,NSRK 501,0,0,3,50.496,22,263,84.16
SILVER BRACELETS,BSTR 468-S,0,12,2,37.386,7,71,62.31
SILVER BRACELETS,BSTR 468-S,0,12,2,38.826,7.5,76,64.71
SILVER BRACELETS,BCTR 738-S,0,42,2,48.858,7,94,81.43
SILVER BRACELETS,BCTR 738-S,0,42,2,50.586,7.5,100,84.31
SILVER BRACELETS,BTRG 165-S,0,18,1,59.958,7,73,99.93
SILVER BRACELETS,BSTR 097-S,0,46,1,58.146,7,62,96.91
SILVER NECKLECES,NSOK 03,0,0,1,80.64,20,140,134.4
SILVER BRACELETS,BCTP 115,0,0,1,85.824,8.5,149,143.04
SILVER BRACELETS,BTP 124,0,0,2,80.928,8,281,134.88
SILVER BRACELETS,BTP 124,0,0,3,86.016,8.5,448,143.36
SILVER BRACELETS,BFTN 127,0,0,1,65.664,8.5,114,109.44
SILVER BRACELETS,BSER 1016,0,0,1,82.368,9,143,137.28
SILVER BRACELETS,BCKS 106,0,0,2,43.2,8,150,72
SILVER BRACELETS,BSTR 179,0,0,1,34.56,7.5,60,57.6
SILVER BRACELETS,BSTR 179,0,0,2,36.864,8,128,61.44
SILVER BRACELETS,BCTR 800,0,0,3,43.008,8,224,71.68
SILVER BRACELETS,BCTR 800,0,0,1,46.656,8.5,81,77.76
SILVER BRACELETS,BFTN 115,0,0,5,54.372,8,472,90.62
SILVER BRACELETS,BFTN 115,0,0,2,58.752,8.5,204,97.92
SILVER BRACELETS,BSTR 711,0,0,2,56.736,8,197,94.56
SILVER BRACELETS,BFTR 150,0,0,1,73.728,8,128,122.88
SILVER BRACELETS,BFTR 150,0,0,3,77.184,8.5,402,128.64
SILVER BRACELETS,BSFK 850,0,0,2,33.696,7.5,117,56.16
SILVER BRACELETS,BSFB 074,0,0,3,33.792,8,176,56.32
SILVER BRACELETS,BSTR 815-S,0,15,2,48.24,7.5,107,80.4
SILVER BRACELETS,BSTR 977,0,0,3,38.976,8,203,64.96
SILVER BRACELETS,BTP 128,0,0,1,78.912,9,137,131.52
SILVER BRACELETS,BCHK 1040,0,0,3,61.632,8,321,102.72
SILVER BRACELETS,BCHK 1040,0,0,1,66.816,8.5,116,111.36
SILVER BRACELETS,BCRK 775,0,0,2,27.936,7.5,97,46.56
SILVER BRACELETS,BTP 108,0,0,3,74.304,8.5,387,123.84
SILVER BRACELETS,BTP 154-S,0,5,1,111.546,9,161,185.91
SILVER BRACELETS,BSTR 550,0,0,2,40.032,8.5,139,66.72
SILVER NECKLECES,NTRP 501,0,0,3,43.008,20,224,71.68
SILVER BRACELETS,BSRK 560,0,0,2,27.36,8.5,95,45.6
SILVER BRACELETS,BCBD 725,0,0,4,33.552,8,233,55.92
SILVER BRACELETS,BTOV 561,0,0,6,22.944,7,239,38.24
SILVER BRACELETS,BTOV 561,0,0,7,24.522,7.5,298,40.87
SILVER BRACELETS,BSBP 646,0,0,8,19.512,7,271,32.52
SILVER BRACELETS,BSBP 646,0,0,8,20.808,7.5,289,34.68
SILVER BRACELETS,BSFK 816,0,0,3,33.984,7.5,177,56.64
SILVER BRACELETS,BSFK 816,0,0,4,36.72,8,255,61.2
SILVER BRACELETS,BCTR 738-SL,0,0,4,28.224,7,196,47.04
SILVER BRACELETS,BCTR 738-SL,0,0,4,29.952,7.5,208,49.92
SILVER BRACELETS,BS 04-S,0,1,2,45.996,7.5,90,76.66
SILVER BRACELETS,BS 04-S,0,1,2,45.996,7.5,89,76.66
SILVER BRACELETS,BS 04-S,0,1,1,45.996,7.5,46,76.66
SILVER BRACELETS,BSBP 600,0,0,4,23.472,7,163,39.12
SILVER BRACELETS,BSBP 600,0,0,4,25.056,7.5,174,41.76
SILVER BRACELETS,BSER 1016,0,0,3,71.808,8,374,119.68
SILVER BRACELETS,BSER 1016,0,0,5,75.804,8.5,658,126.34
SILVER BRACELETS,BSER 1016,0,0,1,79.488,9,138,132.48
SILVER BRACELETS,BAKL 123,0,0,6,28.128,7,293,46.88
SILVER BRACELETS,BAKL 123,0,0,3,29.952,7.5,156,49.92
SILVER BRACELETS,BAKL 123,0,0,2,31.104,8,108,51.84
SILVER BRACELETS,BSBP 708,0,0,1,44.928,8,78,74.88
SILVER BRACELETS,BSBP 708,0,0,1,47.808,8.5,83,79.68
SILVER BRACELETS,BTP 128,0,0,1,69.696,8,121,116.16
SILVER BRACELETS,BTP 128,0,0,1,77.76,8.5,135,129.6
SILVER BRACELETS,BTP 128,0,0,1,82.368,9,143,137.28
SILVER BRACELETS,BCBD 725,0,0,3,32.832,8,171,54.72
SILVER BRACELETS,BCBD 725,0,0,3,33.984,8.5,177,56.64
SILVER BRACELETS,BSFB 074,0,0,2,31.104,7,108,51.84
SILVER BRACELETS,BSFB 074,0,0,3,32.64,7.5,170,54.4
SILVER BRACELETS,BSFB 074,0,0,3,34.176,8,178,56.96
SILVER BRACELETS,BSFB 074,0,0,1,36.288,8.5,63,60.48
SILVER BRACELETS,BCKS 167,0,0,1,122.112,9,212,203.52
SILVER BRACELETS,BCHK 1040,0,0,1,63.36,8,110,105.6
SILVER BRACELETS,BCHK 1040,0,0,1,65.088,8.5,113,108.48
SILVER BRACELETS,BSFB 614,0,0,1,92.16,8.5,160,153.6
SILVER BRACELETS,BSFB 614,0,0,1,96.192,9,167,160.32
SILVER BRACELETS,BTP 124,0,0,1,73.728,8,128,122.88
SILVER BRACELETS,BTP 124,0,0,3,76.416,8.5,398,127.36
SILVER BRACELETS,BTP 124,0,0,1,80.64,9,140,134.4
SILVER BRACELETS,BTP 124,0,0,1,86.4,9.5,150,144
SILVER BRACELETS,BSTR 379,0,0,1,47.808,8.5,83,79.68
SILVER BRACELETS,BCBP 900,0,0,1,56.448,8.5,98,94.08
SILVER BRACELETS,BFTN 125,0,0,1,58.752,8,102,97.92
SILVER BRACELETS,BFTN 125,0,0,1,62.208,8.5,108,103.68
SILVER BRACELETS,BSBP 540,0,0,2,25.92,7,90,43.2
SILVER BRACELETS,BSBP 540,0,0,2,27.936,7.5,97,46.56
SILVER BRACELETS,BSOK 46,0,0,4,17.712,7,123,29.52
SILVER BRACELETS,BSOK 46,0,0,3,18.24,7.5,95,30.4
SILVER BRACELETS,BSRK 560,0,0,2,22.464,7,78,37.44
